ID,Sex,Regions,Periods,PopulationOn1January_1,PopulationOn31December_20
40077,T001038,GM1908,2017JJ00,13454.0,13450.0
29939,T001038,GM1911,2019JJ00,47815.0,48432.0
35939,T001038,GM1916,2019JJ00,75425.0,76534.0
20695,T001038,GM1921,2015JJ00,51213.0,51265.0
22259,T001038,GM1924,2019JJ00,49611.0,50049.0
50939,T001038,GM1926,2019JJ00,54331.0,55308.0
41698,T001038,GM1927,2018JJ00,29295.0,29318.0
44699,T001038,GM1930,2019JJ00,84797.0,85219.0
34319,T001038,GM1931,2019JJ00,56048.0,56319.0
20759,T001038,GM1940,2019JJ00,51430.0,51564.0
22439,T001038,GM1942,2019JJ00,57715.0,58055.0
9059,T001038,GM1945,2019JJ00,34798.0,34992.0
39719,T001038,GM1948,2019JJ00,80815.0,81194.0
65579,T001038,GM1949,2019JJ00,46039.0,46090.0
68219,T001038,GM1950,2019JJ00,25199.0,25733.0
40739,T001038,GM1952,2019JJ00,60899.0,60797.0
8099,T001038,GM1954,2019JJ00,35727.0,35938.0
41879,T001038,GM1955,2019JJ00,36026.0,36011.0
4979,T001038,GM1959,2019JJ00,55386.0,55967.0
67559,T001038,GM1960,2019JJ00,50697.0,51128.0
64019,T001038,GM1961,2019JJ00,55712.0,56811.0
29519,T001038,GM1963,2019JJ00,86656.0,87401.0
29879,T001038,GM1966,2019JJ00,47888.0,47801.0
67979,T001038,GM1969,2019JJ00,63031.0,63329.0
44819,T001038,GM1970,2019JJ00,45181.0,45228.0
41639,T001038,GM1978,2019JJ00,43858.0,43909.0
40137,T001038,GM1987,2017JJ00,12162.0,12013.0
